,id,user_id,name,unsubscribed_at
442,2025573,60937,Unsubscribe Request,2022-04-23
443,2029952,98211,Unsubscribe Request,2022-04-24
444,2029954,98211,Unsubscribe Request,2022-04-24
445,2034700,98025,Unsubscribe Request,2022-04-24
446,2036809,34855,Unsubscribe Request,2022-04-24
447,2040995,97849,Unsubscribe Request,2022-04-24
448,2048765,98708,Unsubscribe Request,2022-04-24
449,2050451,98545,Unsubscribe Request,2022-04-24
450,2058888,98724,Unsubscribe Request,2022-04-25
451,2063430,87454,Unsubscribe Request,2022-04-25
452,2063431,98067,Unsubscribe Request,2022-04-25
453,2076720,93652,Unsubscribe Request,2022-04-25
454,2091519,77516,Unsubscribe Request,2022-04-25
455,2092809,98421,Unsubscribe Request,2022-04-25
456,2095391,98252,Unsubscribe Request,2022-04-25
457,2097636,98873,Unsubscribe Request,2022-04-26
458,2100529,98796,Unsubscribe Request,2022-04-26
459,2108209,82197,Unsubscribe Request,2022-04-26
460,2110375,82315,Unsubscribe Request,2022-04-26
461,2117035,87547,Unsubscribe Request,2022-04-26
462,2117038,87547,Unsubscribe Request,2022-04-26
463,2123409,90042,Unsubscribe Request,2022-04-26
464,2137833,68391,Unsubscribe Request,2022-04-26
465,2137835,68391,Unsubscribe Request,2022-04-26
466,2137836,68391,Unsubscribe Request,2022-04-26
467,2137863,98539,Unsubscribe Request,2022-04-26
468,2137865,98539,Unsubscribe Request,2022-04-26
469,2139066,98273,Unsubscribe Request,2022-04-26
470,2139068,98273,Unsubscribe Request,2022-04-26
471,2143094,98868,Unsubscribe Request,2022-04-27
472,2143096,98868,Unsubscribe Request,2022-04-27
473,2174835,99083,Unsubscribe Request,2022-04-27
474,2174836,99083,Unsubscribe Request,2022-04-27
475,2183764,99109,Unsubscribe Request,2022-04-28
476,2184531,99072,Unsubscribe Request,2022-04-28
477,2184683,54458,Unsubscribe Request,2022-04-28
478,2194455,63437,Unsubscribe Request,2022-04-28
479,2197541,42867,Unsubscribe Request,2022-04-28
480,2197544,42867,Unsubscribe Request,2022-04-28
481,2197545,42867,Unsubscribe Request,2022-04-28
482,2197546,42867,Unsubscribe Request,2022-04-28
483,2200877,98436,Unsubscribe Request,2022-04-28
484,2204917,34230,Unsubscribe Request,2022-04-28
485,2210324,98235,Unsubscribe Request,2022-04-28
486,2210325,98235,Unsubscribe Request,2022-04-28
487,2211384,99191,Unsubscribe Request,2022-04-28
488,2211385,99191,Unsubscribe Request,2022-04-28
489,2219005,99210,Unsubscribe Request,2022-04-29
490,2219482,83251,Unsubscribe Request,2022-04-29
491,2219485,83251,Unsubscribe Request,2022-04-29
492,2221859,97082,Unsubscribe Request,2022-04-29
493,2224026,99228,Unsubscribe Request,2022-04-29
494,2224906,70556,Unsubscribe Request,2022-04-29
495,2225527,99208,Unsubscribe Request,2022-04-29
496,2225528,99208,Unsubscribe Request,2022-04-29
497,2231293,97047,Unsubscribe Request,2022-04-29
498,2233980,99167,Unsubscribe Request,2022-04-29
499,2234004,99257,Unsubscribe Request,2022-04-29
500,2234770,98469,Unsubscribe Request,2022-04-29
501,2235708,88138,Unsubscribe Request,2022-04-29
502,2235711,88138,Unsubscribe Request,2022-04-29
503,2235740,88138,Unsubscribe Request,2022-04-29
504,2235744,88138,Unsubscribe Request,2022-04-29
505,2237440,53592,Unsubscribe Request,2022-04-29
506,2240269,96785,Unsubscribe Request,2022-04-29
507,2243036,99274,Unsubscribe Request,2022-04-29
508,2243037,93480,Unsubscribe Request,2022-04-29
509,2246459,23154,Unsubscribe Request,2022-04-30
510,2246460,23154,Unsubscribe Request,2022-04-30
511,2254894,98445,Unsubscribe Request,2022-04-30
512,2256218,46389,Unsubscribe Request,2022-04-30
513,2274880,82701,Unsubscribe Request,2022-04-30
514,2274882,82701,Unsubscribe Request,2022-04-30
515,2282464,99393,Unsubscribe Request,2022-05-01
516,2294961,99434,Unsubscribe Request,2022-05-01
517,2299200,99446,Unsubscribe Request,2022-05-01
518,2299201,99446,Unsubscribe Request,2022-05-01
519,2299295,99308,Unsubscribe Request,2022-05-01
520,2301371,98609,Unsubscribe Request,2022-05-02
521,2305733,93451,Unsubscribe Request,2022-05-02
522,2319636,98574,Unsubscribe Request,2022-05-02
523,2321311,99519,Unsubscribe Request,2022-05-02
524,2321313,99519,Unsubscribe Request,2022-05-02
525,2321315,99519,Unsubscribe Request,2022-05-02
526,2323577,95001,Unsubscribe Request,2022-05-02
527,2323780,98876,Unsubscribe Request,2022-05-02
528,2323781,98876,Unsubscribe Request,2022-05-02
529,2324234,64462,Unsubscribe Request,2022-05-02
530,2327809,96992,Unsubscribe Request,2022-05-02
531,2330539,98156,Unsubscribe Request,2022-05-02
532,2336798,99345,Unsubscribe Request,2022-05-03
533,2338684,98782,Unsubscribe Request,2022-05-03
534,2338685,98782,Unsubscribe Request,2022-05-03
535,2345052,95119,Unsubscribe Request,2022-05-03
536,2345327,99411,Unsubscribe Request,2022-05-03
537,2345752,99597,Unsubscribe Request,2022-05-03
538,2345754,99597,Unsubscribe Request,2022-05-03
